name,ic_mean,ic_std,ic_ir,ic_positive_ratio,category,depends_on_volume,ic_AUDUSD,ic_EURUSD,ic_GBPUSD,ic_USDJPY,ic_XAUUSD
CNTN30,0.20297643998472698,0.12185577327988621,1.6657104913570042,0.9604904632152589,effective,False,0.2191142439310806,0.20648470540962743,0.2050576836375488,0.20652132460881922,0.1777042423365589
MIN10,0.16440230522950355,0.10492709322531828,1.5668241650082637,0.9414965986394558,effective,False,0.1803524367492014,0.1622958066841779,0.13649960861518332,0.19149545763943895,0.15136821645951612
CNTN10,0.17384629935816018,0.11423010859848247,1.5218955973265151,0.9400544959128065,effective,False,0.1993143477207557,0.15801196665435285,0.17497477616877127,0.18549267915376413,0.15143772709315698
MA5,0.15071192968798017,0.10726632719969523,1.4050255436396482,0.9196185286103542,effective,False,0.18466943926573928,0.15109299133392062,0.1357624305996599,0.15210915572309522,0.12992563151748582
QTLU5,0.14571565953190793,0.10713563378199024,1.3601045178714672,0.9142857142857143,effective,False,0.18451025522991152,0.1506481674012196,0.1363674492353332,0.1331631106685293,0.12388931512454605
MAX5,0.14455904274208148,0.1072562189503728,1.347791709951743,0.908843537414966,effective,False,0.181453634085213,0.13547105376351512,0.15381222802108865,0.11786158156009345,0.13419671628049715
ROC5,0.1497212895251828,0.11168332098010236,1.3405877279728933,0.8986301369863013,effective,False,0.17778761973426718,0.15061489339787826,0.14870120506746315,0.16418374703882993,0.10731898238747552
QTLD5,0.1360295536429778,0.103879160896689,1.3094980019935216,0.8938775510204081,effective,False,0.16974318263535237,0.13303258145363406,0.09618536136259014,0.16478952752624015,0.11639711523707227
SUMN5,0.1394807626618988,0.10897709144627306,1.2799090231791,0.888130968622101,effective,False,0.17480724710096926,0.14402010353777644,0.1481608313297128,0.1472076278718511,0.08320800346918435
MIN5,0.13517796117738948,0.11143781609731765,1.2130349096157786,0.8721088435374149,effective,False,0.15135738749268066,0.14991683070549125,0.10604879545803282,0.16482580711489164,0.10374098511585084
IMIN20,0.12101546533153142,0.10448307484869188,1.1582303211001501,0.8787465940054496,effective,False,0.14533030585021772,0.08155899304249045,0.13137593405859288,0.08589720363422092,0.16082124479258333
CNTN5,0.12048305789769315,0.1064639997230278,1.1316788605644794,0.8814713896457765,effective,False,0.15934340484120396,0.10260488039002157,0.14072564900270076,0.14903811791492386,0.05070323733961568
IMIN30,0.11932972896150953,0.10754685691310577,1.109560357100198,0.8814713896457765,effective,False,0.16331996156729495,0.07875238787644256,0.10537801174991746,0.08578904007921397,0.16135200945174355
IMIN60,0.09668868310631946,0.09188469829234881,1.0522827511354051,0.8446866485013624,effective,False,0.1236940388015059,0.09778644992464909,0.08648909675480569,0.017143943286229216,0.1514349009554867
IMIN5,0.09760125495854255,0.10373579273830166,0.9408638270569257,0.8228882833787466,effective,False,0.1402071771731775,0.07075158672829883,0.04069383935228035,0.1447813788879479,0.09157229265100819
IMIN10,0.09445882235072041,0.10054736246194229,0.9394460484875828,0.8310626702997275,effective,False,0.11494537631566439,0.07785444676994906,0.06305765587966539,0.058737129756620654,0.15769950303170246
OPEN0,0.04889652703186538,0.115606104371224,0.4229580029342847,0.673469387755102,effective,False,0.07712955859035343,0.05566569484936831,0.022167664058104438,0.03236663086287147,0.05715308679862923
VWAP0,0.04495661638005674,0.1088047620928485,0.4131861098293936,0.6775510204081633,effective,False,0.06647230320699707,0.07258626332322883,0.020193340494092372,0.01859751419364738,0.04693366068231804
STD60,0.04562782979246481,0.11932034952089027,0.38239772155944296,0.6771117166212534,effective,False,0.09293192108336236,0.05904406793550635,0.1017721415254758,-0.08178689229886704,0.05617791071684661
STD30,0.04214541804101534,0.12955849505404532,0.325300305652936,0.6267029972752044,effective,False,0.04991702689967425,0.08213927188543564,0.07057425580299521,-0.046342013070824195,0.054438548687795775
HIGH0,0.0355974893073183,0.12061029711968543,0.2951446945860168,0.6244897959183674,effective,False,0.07397268681908853,0.07842258707994476,0.018748913099074217,-0.0001329855250370856,0.006976245063521093
LOW0,0.023775213848058162,0.1095440095806464,0.21703801001144502,0.6040816326530613,effective,False,0.03271239322796788,0.07165055495882564,0.007268478835707933,-0.016148534601810642,0.02339317681960002
RSQR5,0.020054495912806537,0.11049676007909623,0.18149397229793027,0.5326975476839237,effective,False,-0.009590051422835017,0.03258896560201593,0.005293888672635263,0.048669357316998216,0.02331031939521829
KSFT2,-0.031656283566058,0.11193610431458828,-0.2828067294274448,0.3578231292517007,effective,False,-0.06387601657204235,-0.07047414454503605,-0.021907830801493524,0.011649531993248424,-0.013672957904966497
KSFT,-0.036841082297580686,0.11241811422301362,-0.3277148220481249,0.3306122448979592,effective,False,-0.06019947828755561,-0.08387908546877397,-0.02086645184389545,0.0045296915758784705,-0.023790087463556844
KMID2,-0.042162140043987516,0.11272487719348716,-0.37402693259641445,0.3401360544217687,effective,False,-0.08076927011406065,-0.04654697969413329,-0.03010792286839548,-0.01537517262544115,-0.03801135491790702
KMID,-0.04889652703186538,0.115606104371224,-0.4229580029342847,0.32653061224489793,effective,False,-0.07712955859035343,-0.05566569484936831,-0.022167664058104438,-0.03236663086287147,-0.05715308679862923
IMAX5,-0.07892178808037163,0.13061176911593736,-0.6042471410850948,0.2847411444141689,effective,False,-0.11701356071988825,-0.10636221364117306,-0.052008052988972674,-0.06719724871036643,-0.05202786434145778
RESI10,-0.07639097744360901,0.11930676041291258,-0.6402904343326818,0.2329700272479564,effective,False,-0.10250558275798487,-0.08907828153489991,-0.05851344983712686,-0.08437647251644095,-0.04748110057159248
IMAX60,-0.0846975834285487,0.1125426533458711,-0.7525820736450234,0.22888283378746593,effective,False,-0.039054800433255425,-0.07438505264148099,-0.09479404290753944,-0.12890610092238167,-0.08634792023808602
BETA60,-0.11815000717051483,0.12599055180364022,-0.937768788842634,0.1784741144414169,effective,False,-0.10296449570793466,-0.09762963266476819,-0.134701194402901,-0.12779086681280855,-0.12766384626416177
IMXD5,-0.10969417359387935,0.11596078866442792,-0.9459591889402964,0.1784741144414169,effective,False,-0.14619008207044637,-0.12031290537307876,-0.04871853251673516,-0.12992754384308264,-0.1033218041660539
IMAX10,-0.11670712278882184,0.12104912085233267,-0.9641302800636807,0.18256130790190736,effective,False,-0.0819950082788799,-0.16810755099107946,-0.06457174747170759,-0.11864682740876396,-0.1502144797936783
IMAX30,-0.12946166113945892,0.12291790937012059,-1.0532367642996132,0.1539509536784741,effective,False,-0.12411388968306845,-0.14279708344272637,-0.12401627950785359,-0.14310772761878515,-0.11327332544486106
IMXD60,-0.12099079726388626,0.1122238339328449,-1.0781203334782479,0.14168937329700274,effective,False,-0.13619531152776027,-0.1174048279289247,-0.10067489341895211,-0.0939157731531826,-0.156383397744648
RESI20,-0.1361586527626969,0.12217793964123932,-1.114429111855301,0.14168937329700274,effective,False,-0.17052303783983117,-0.14497756653213412,-0.11767019729159409,-0.1491979266968511,-0.09842453545307411
IMXD10,-0.13455046431164466,0.11870742985721551,-1.1334628714772579,0.12125340599455041,effective,False,-0.12196712619063124,-0.1611651198537604,-0.08017672221281001,-0.12853507273015555,-0.1809082805708661
CNTD5,-0.12094338123309384,0.10665108458295557,-1.134009857527716,0.11852861035422343,effective,False,-0.1593568524271905,-0.10277956871938414,-0.1407912238067606,-0.15060734935046052,-0.05118191186167347
CNTP5,-0.12166662280142185,0.10663641813425064,-1.1409481388267264,0.11852861035422343,effective,False,-0.15882563656118456,-0.10490929097364511,-0.14067965099694688,-0.15289011557509297,-0.05102841990023968
IMAX20,-0.12635101368811663,0.11040193934241144,-1.1444637154084691,0.14713896457765668,effective,False,-0.13842370138383236,-0.15236195770764915,-0.10690808227786444,-0.11770789638845483,-0.1163534306827824
RANK5,-0.1227497076434615,0.10276750960565215,-1.1944408122225272,0.11716621253405994,effective,False,-0.1773603795657299,-0.11277147121128235,-0.1081283056468202,-0.1064426977772499,-0.10904568401622519
